score	ordklasse	lemma	definition	genprox	kollokation	hyper	ddo_bet	ddo_dannetsemid	ddo_entryid	dn_id
6	sb.	drama	rystende, skræmmende el. på anden måde sindsoprivende begivenhed el. situation	begivenhed		{hændelse_1}	2	21014311	11009597	24600
15	adj.	dramatisk	farlig, spændende el. uventet, som fremkalder en tilstand af foruroligelse el. ængstelse	farlig		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21014323	11009603	74153
4	adj.	dramatisk	"drastisk; voldsom; alarmerende"	drastisk			1.a	21014325	11009603	
6	adj.	dramatisk	som vedrører el. tilhører den skønlitterære hovedgenre drama	drama		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21014324	11009603	78303
9	vb.	dreje	gradvis ændre (bevægelses)retning	ændre		{bevæge_4: bevæge sig}	1	21014348	11009617	29278
2	vb.	dreje	give noget en ny retning el. stilling ved at bevæge det	give			1.a	21014353	11009617	
3	vb.	dreje	få til at vedrøre noget bestemt	få			1.b	21014354	11009617	
3	vb.	dreje	bevæge sig rundt om noget	bevæge		{bevæge_4_1: bevæge sig}	2	21014349	11009617	29977
7	vb.	dreje	bevæge en genstand e.l. rundt om dens akse	bevæge		"{bevæge_1; movere_1}"	2.a	21014355	11009617	29978
4	vb.	dreje	bevæge sig rundt om sin egen akse	bevæge		{bevæge_4_1: bevæge sig}	2.b	21014356	11009617	29979
2	vb.	dreje	kalde et telefonnummer ved at dreje på telefonens drejeskive el. trykke på dens taster	kalde			3	21014350	11009617	
2	vb.	dreje	forme en genstand af ler på en roterende skive	forme		{forme_1}	4	21014351	11009617	48471
2	vb.	dreje	fremstille en genstand af metal, træ e.l. ved at bearbejde materialet med et fastspændt skærende værktøj mens det med stor fart drejer omkring sin egen akse på en drejebænk	fremstille		{fremstille_1}	5	21014352	11009617	31923
2	sb.	drejning	gradvis ændring fra bevægelse i én retning til bevægelse i en anden retning	ændring		{bevægelse_1}	1	21014375	11009628	33897
10	sb.	drejning	ny, anderledes udvikling, det at give noget et særligt præg el. en særlig udlægning	udvikling			1.a	21014378	11009628	
1	sb.	drejning	det at dreje (noget), fx sådan at noget bevæger sig rundt om noget andet el. rundt om sin egen akse	dreje			2	21014376	11009628	
1	sb.	drejning	fremstilling af genstande af metal, træ e.l. ved bearbejdning på en drejebænk	fremstilling			3	21014377	11009628	
9	sb.	dreng	barn el. ung person af hankøn, højst 17-18 år gammel	barn		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1	21014380	11009630	4412
2	sb.	dreng	en skive citron pyntet med kapers, peberrod og et stykke sild el. ansjos, brugt som garniture på fx wienerschnitzel	citron			7	28124733	11009630	
5	sb.	dreng	person af hankøn som man er far el. mor til	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	2	21014381	11009630	4413
4	sb.	dreng	person af hankøn, uden hensyn til vedkommendes alder	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	3	21014382	11009630	4414
3	sb.	dreng	(yngre) mand som man har et kammeratligt, fortroligt forhold til, el. som man har sympati for	mand		"{hankøn_1_1; herre_1; mand_1; mandsperson_1; hr._1}"	3.a	21014386	11009630	4417
2	sb.	dreng	(yngre) mand betragtet som (mulig) seksualpartner	mand		"{hankøn_1_1; herre_1; mand_1; mandsperson_1; hr._1}"	3.b	21014387	11009630	62301
1	sb.	dreng	bruges i venlig el. kærlig tiltale til el. omtale af en (yngre) mand (el. et kæledyr af hankøn)	tiltale			3.c	21014388	11009630	
1	sb.	dreng	barn el. ung person af hankøn tilhørende en bestemt aldersklasse inden for visse sportsgrene, fx 12-14 år	barn		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	4	21014383	11009630	4415
3	sb.	dreng	barn el. ung person af hankøn der hjælper til el. arbejder et bestemt sted, fx på en gård	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	5	21014384	11009630	4416
2	sb.	dreng	ting, genstand el. dyr af bemærkelsesværdig beskaffenhed	ting		"{effekt_3; genstand_1; ting,1_1}"	6	21014385	11009630	13202
11	sb.	drift	løbende aktivitet rettet mod at få noget til at fungere og holde det i gang	aktivitet		{aktivitet_1}	1	21014422	11009656	27016
7	sb.	drift	en maskines funktion og arbejde	funktion			1.a	21014427	11009656	
3	sb.	drift	naturligt behov der fremkalder en stærk trang til at tilfredsstille det	behov		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	2	21014423	11009656	26999
2	sb.	drift	stærk indre tilskyndelse el. fascination	tilskyndelse			2.a	21014428	11009656	
5	sb.	drift	den del af en virksomhed som omfatter de løbende aktiviteter el. arbejdsprocesser, og som bogføres i et separat regnskab	virksomhed		{aktivitet_1}	3	21014424	11009656	27015
1	sb.	drift	ukontrolleret, langsom bevægelse med strøm el. vind	bevægelse		{flytning_1}	4	21014425	11009656	37192
1	sb.	drift	flok el. mængde af noget der drives el. bevæger sig af sted	flok		"{gruppe_1; samling_3}"	5	21014426	11009656	38450
10	vb.	drikke	tilføre kroppen (nødvendig) væske gennem mund og hals, indtage en drik	tilføre		"{indtage_1; røre,2_1_3}"	1	21014470	11009687	957
11	vb.	drikke	indtage alkoholiske drikke (i store mængder)	indtage		{drikke,2_1}	2	21014471	11009687	43825
4	vb.	drikke	regelmæssigt indtage alkoholiske drikke i større mængder, være drikfældig	indtage		{drikke,2_1}	2.a	21014472	11009687	2337
8	vb.	drille	bevidst genere nogen ved at lave sjov med vedkommende el. komme med let hånende bemærkninger	genere		{tale,1_1}	1	21014499	11009706	48291
1	vb.	drille	volde problemer (for)	volde			1.a	21014500	11009706	
1	sb.	drive	fremdrift, fart el. dynamik hos en person el. i et forløb	fremdrift		{fremdrift_2}	1	21014519	11009723	73237
1	sb.	drive	spændstig, fremadrettet spillemåde (i jazzmusik) der indebærer at tonerne spilles en anelse før taktslagene	spillemåde			2	21014520	11009723	
0	sb.	drive	langt, kraftigt slag til en bold, især i golf	slag		{slag_1_3}	3	21014521	11009723	22350
1	sb.	drivkraft	kraft der kan drive en maskine e.l.	kraft		{kraft_1}	1	21014558	11009741	31196
1	sb.	drivkraft	person der yder den afgørende, store arbejdsindsats i et foretagende, en virksomhed e.l., fx som leder	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.a	21014560	11009741	5954
3	sb.	drivkraft	kraft, princip, tilskyndelse el. andet som får nogen til at gøre noget bestemt, el. som driver en udvikling fremad	kraft		{kraft_1}	2	21014559	11009741	31197
2	sb.	drivværk	motor e.l. der får noget til at bevæge sig el. fungere	motor		"{maskine_2; motor_1}"	1	21014567	11009746	35594
7	sb.	dronning	(titel for) kvindelig regent i et monarki	regent		{regent_1}	1	21014578	11009756	40780
3	sb.	dronning	(titel for) en konges hustru el. enke	hustru		"{frue_1; frue_2; hustru_1; kone_1; viv_1; ægtehustru_1; ægteviv_1}"	1.a	21014582	11009756	3854
3	sb.	dronning	kvinde der udmærker sig på særlig vis blandt andre kvinder	kvinde		"{dame_1; damemenneske_1; fruentimmer_1; hunkøn_1_2; kvinde_1; kvindemenneske_1}"	2	21014579	11009756	3881
1	sb.	dronning	den frugtbare hun hos bier, hvepse, myrer og termitter	hun		"{insekt_1; insekt_2}"	3	21014580	11009756	3351
1	sb.	dronning	den mest slagkraftige brik i skak, i stand til at rykke et vilkårligt antal felter frem el. tilbage, enten diagonalt el. i lige linjer fra det felt hvor den står	brik		{officer_3}	4	21014581	11009756	29731
9	vb.	droppe	opgive (at gennemføre) noget, afbryde et forhold til nogen	opgive		{opgive_1}	1	21014593	11009764	45032
3	vb.	droppe	nedkaste, lade falde	nedkaste			2	21014594	11009764	
0	sb.	druevin	vin lavet af saft fra vindruer, i modsætning til fx frugtvin	vin		"{drik_1; drikkelse_1; drikkevare_1}"	1	21014614	11009781	402
0	sb.	druevin	vinplante der dyrkes pga. druerne	vinplante		"{vin_2; vinplante_1}"	2	21014615	11009781	41333
2	vb.	drukne	dø af iltmangel fordi man har hovedet under vand (el. en anden væske) og ikke kan trække vejret	dø			1	21014622	11009790	44473
1	vb.	drukne	holde nogens hoved under vand (el. en anden væske) til vedkommende dør	holde			1.a	21014625	11009790	
9	vb.	drukne	blive ødelagt el. (næsten) forsvinde ved at være omgivet af, udsat for el. præget af noget i (alt for) stort omfang	blive		"{blive_3; DN:ændre sig}"	2	21014623	11009790	45970
3	vb.	drukne	få noget til (næsten) at forsvinde el. ødelægge noget ved at udsætte det for noget el. omgive det med noget i for stort omfang	få			2.a	21014626	11009790	
2	vb.	drukne	fortrænge en sorg e.l. ved at drikke sig beruset	fortrænge		{drikke,2_2}	2.b	21014627	11009790	74868
1	vb.	drukne	tilføre en forbrændingsmotor så meget brændstof at tænding ikke kan finde sted	tilføre			3	21014624	11009790	
2	vb.	dryppe	falde som dråber	falde		{falde_1}	1	21014634	11009796	30700
3	vb.	dryppe	få til at falde i dråber	få		{få,2_4}	1.a	21014635	11009796	78474
3	vb.	dryppe	afgive dråber, fx pga. indhold af væde	afgive		{afgive_3}	1.b	21014636	11009796	31621
1	sb.	dråbe	lille kugle- el. pæreformet væskemængde som holdes sammen af overfladespændingen	væskemængde		"{væde,1_1; væske,1_1}"	1	21014736	11009856	38488
1	sb.	dråbe	lille mængde af noget	mængde		"{kvantitet_1; mængde_1}"	1.a	21014738	11009856	41498
7	sb.	dråbe	(portion af) værdifuld væske, især alkoholisk drik	væske		"{væde,1_1; væske,1_1}"	1.b	21014739	11009856	13695
1	sb.	dråbe	væske der doseres dråbevis, især medicin	væske		"{væde,1_1; væske,1_1}"	2	21014737	11009856	13694
11	vb.	dræbe	forårsage nogens død (på en voldsom måde)	forårsage		"{forårsage_1; frembringe_2; lede,2_3_1; medføre_1; skabe_2}"	1	21014655	11009807	1737
4	vb.	dræbe	have en negativ og ødelæggende indflydelse på	have			1.a	21014656	11009807	
6	sb.	drøm	sammenhængende række af synsbilleder el. andre sanseindtryk som man oplever mens man sover	række			1	21014687	11009830	38022
9	sb.	drøm	forhåbningsfuld, men ofte urealistisk forestilling, plan e.l. om noget fremtidigt	forestilling			2	21014688	11009830	25128
4	sb.	drøm	ønskefantasi som man kan have i vågen tilstand	ønskefantasi			2.a	21014690	11009830	
1	sb.	drøm	meget dejlig el. flot genstand el. person	genstand		"{effekt_3; genstand_1; ting,1_1}"	3	21014689	11009830	15583
1	sb.	drømmeri	det at hengive sig til fantasier og urealistiske tanker	hengive		{tankevirksomhed_1}	1	21014709	11009839	66751
0	sb.	drømmeri	det at drømme mens man sover	drømme			2	21014710	11009839	
4	vb.	du	være egnet el. dygtig til noget	egnet			1	21014756	11009868	
4	vb.	du	virke tilfredsstillende, give et tilfredsstillende resultat	virke		"{fungere_1; funke,2_1; funktionere_1}"	1.a	21014757	11009868	45722
4	pron.	du	den person som den talende (uformelt el. fortroligt) henvender sig til i direkte tiltale	person			1	21014758	11009869	
2	pron.	du	bruges for at henvise til en ikke nærmere specificeret person i almindelighed	person			1.a	21014759	11009869	
3	pron.	du	bruges sammen med et beskrivende ord der karakteriserer den tiltalte, fx som en efterstillet tilføjelse	beskrive			1.b	21014760	11009869	
2	pron.	du	bruges undertiden som eksplicit subjekt for en imperativ	imperativ			1.c	21014761	11009869	
6	sb.	due	lille til mellemstor fugl med kort hals, korte ben og blågrå, grå, brun el. hvid fjerdragt	fugl		"{fugl_1; pipfugl_1; piphans_1}"	1	21014779	11009887	11669
3	sb.	due	kompromissøgende person der i konfliktsituationer ønsker at løse problemerne på fredelig vis	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.a	21014781	11009887	6866
2	sb.	due	bruges som kælenavn for en (blid og kærlig) kvinde	kælenavn		{kælenavn_1}	2	21014780	11009887	8000
5	sb.	dukke	menneskelignende figur i lille format, især brugt som legetøj	legetøj		"{legeting_1; legetøj_1; legesager_1};{figur_3}"	1	21014822	11009914	11057
0	sb.	dukke	pyntesyg, ofte ubegavet ung kvinde	kvinde		"{dame_1; damemenneske_1; fruentimmer_1; hunkøn_1_2; kvinde_1; kvindemenneske_1}"	1.a	21014824	11009914	3874
0	sb.	dukke	aflangt, løst opviklet bundt (brodere)garn	bundt		{bundt_1}	2	21014823	11009914	9341
7	adj.	dum	med lav el. nedsat intelligens	intelligens		"{karakteregenskab_1; karaktertræk_1; personlighedstræk_1}"	1	21014853	11009932	68317
2	adj.	dum	som ikke gennemtænker el. overvejer sine handlinger, beslutninger el. udtalelser	gennemtænke		"{dygtighed_1_1; evne,1_1_1; kapacitet_1_1; kunnen_1; nemme,1_1; sans,1_2; streng,1_2_1; talent,1_1}"	1.a	21014855	11009932	68315
6	adj.	dum	som er udtryk for manglende viden el. intelligens, uigennemtænkt	manglende		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.b	21014856	11009932	68318
2	adj.	dum	som er til irritation, besvær el. ærgrelse	irritation		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21014854	11009932	68319
7	adj.	dum	bruges i tiltale til el. omtale af personer der har sagt el. gjort noget man er blevet såret, skuffet el. irriteret over	bruges		"{skældsord_1; ukvemsord_1}"	2.a	21014857	11009932	68320
10	adj.	dyb	med en vis, især stor udstrækning lodret nedad fra overfladen el. overkanten	udstrækning		"{størrelse_1; udstrækning_2}"	1	21014997	11010029	74027
5	adj.	dyb	med en rummelig, nedadgående hulhed	hulhed			1.a	21015004	11010029	
3	adj.	dyb	som befinder sig på el. bevæger sig mod et sted langt nede i lodret plan	befinde			1.b	21015005	11010029	
1	adj.	dyb	som rammer el. vedrører maveregionen lige over bæltestedet	maveregion			1.c	21015006	11010029	
1	adj.	dyb	med en vis, især stor udstrækning (vandret) indad fra forsiden el. yderkanten	udstrækning			2	21014998	11010029	
1	adj.	dyb	som befinder sig på el. bevæger sig mod et sted langt inde i vandret plan el. i retning mod centrum	befinde			2.a	21015007	11010029	
2	adj.	dyb	som spilles i retning mod banens baglinje	spille			2.b	21015008	11010029	
8	adj.	dyb	meget kraftig el. intens	kraftig		{kraftig_4}	3	21014999	11010029	71180
11	adj.	dyb	som føles stærkt og inderligt, intens	stærk			3.a	21015009	11010029	
4	adj.	dyb	meget, i høj grad	meget			3.b	21015010	11010029	
2	adj.	dyb	"dybsindig; eftertænksom; tankevækkende"	dybsindig			4	21015000	11010029	
6	adj.	dyb	som ligger bag overfladen og udgør det fundamentale, rette el. egentlige	ligge			4.a	21015011	11010029	
7	adj.	dyb	med fuld udnyttelse af lungerne	udnyttelse			5	21015001	11010029	
5	adj.	dyb	i et lavt toneleje, mørk og klangfuld	toneleje			6	21015002	11010029	
1	adj.	dyb	mørk, fyldig og intens	mørk		{mørk_1}	7	21015003	11010029	71338
14	sb.	dyd	egenskab der opfattes som entydigt god if. omverdenens normer for moral og opførsel	egenskab		"{karakteregenskab_1; karaktertræk_1; personlighedstræk_1}"	1	21015056	11010065	21654
2	sb.	dyd	forhold, livsførelse e.l. der er præget af høj moral og afstandtagen fra alt syndigt	forhold		{forhold_1}	1.a	21015058	11010065	42434
2	sb.	dyd	seksuel uberørthed, mødom	uberørthed			2	21015057	11010065	48826
1	sb.	dyd	tilstand præget af renhed, uskyld, naivitet e.l.	tilstand		"{helbred_1; konstitution_1; tilstand_1_2; helbredstilstand_0}"	2.a	21015059	11010065	25489
14	adj.	dygtig	med gode evner el. forudsætninger (for at udføre noget bestemt)	evne		"{dygtighed_1_1; evne,1_1_1; kapacitet_1_1; kunnen_1; nemme,1_1; sans,1_2; streng,1_2_1; talent,1_1}"	1	21015067	11010070	46716
1	adj.	dygtig	som vidner om gode evner el. forudsætninger	vidne			1.a	21015069	11010070	
1	adj.	dygtig	stor, omfattende e.l.	stor		{stor_1}	2	21015068	11010070	29110
1	adj.	dygtig	"grundig; ordentlig; eftertrykkelig"	grundig		{grundig_1}	2.a	21015070	11010070	71416
8	sb.	dygtighed	gode evner el. forudsætninger (for at udføre noget bestemt)	evne		"{dygtighed_1_1; evne,1_1_1; kapacitet_1_1; kunnen_1; nemme,1_1; sans,1_2; streng,1_2_1; talent,1_1}"	1	21015073	11010073	25969
1	sb.	dygtighed	evne, kapacitet	evne		{evne,1_1}	1.a	21015074	11010073	25985
1	sb.	dygtighed	dygtig og erfaren person	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.b	21015075	11010073	5973
3	vb.	dykke	bevæge sig ned under vandoverfladen og svømme med hovedet under vandet	bevæge		{bevæge_4: bevæge sig}	1	21015081	11010076	29988
2	vb.	dykke	bevæge sig brat nedad gennem luften	bevæge		{bevæge_4_1: bevæge sig}	1.a	21015084	11010076	29989
2	vb.	dykke	sænke ned under vandoverfladen	sænke		{sænke_1}	1.b	21015085	11010076	45159
2	vb.	dykke	falde brat til et lavere niveau	falde		{falde_1}	2	21015082	11010076	30704
2	vb.	dykke	sænke voldsomt	sænke			2.a	21015086	11010076	
2	vb.	dykke	slå et søm i så sømhovedet kommer under træets overflade	slå		{slå,2_1}	3	21015083	11010076	28137
9	adj.	dynamisk	præget af forandring og udvikling, ofte ved samspil af kræfter	præget		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21015108	11010089	71553
2	adj.	dynamisk	"handlekraftig; energisk; idérig"	handlekraftig		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.a	21015112	11010089	78298
1	adj.	dynamisk	vedr. el. præget af musikalsk dynamik	dynamik		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21015109	11010089	71554
2	adj.	dynamisk	vedr. overførelse og gengivelse af lydsignaler af forskellig styrke	overførelse			3	21015110	11010089	
2	adj.	dynamisk	som vedrører el. indebærer bevægelse	bevægelse			4	21015111	11010089	
20	sb.	dyne	sammensyet pose af tætvævet stof som er fyldt med dun el. luftige kunstfibre, og som man dækker sig med når man sover i en seng	pose		"{effekt_3; genstand_1; ting,1_1}"	1	21015126	11010098	34623
3	sb.	dyne	sammenhængende lag som dækker noget	lag		{lag_1}	1.a	21015127	11010098	20702
1	sb.	dyne	noget uigennemtrængeligt som virker forhindrende på éns udfoldelsesmuligheder	uigennemtrængeligt			1.b	21015128	11010098	
16	sb.	dyr	levende organisme som kan bevæge sig, og som ikke er et menneske	organisme		{dyr,1_2}	1	21015152	11010114	3262
1	sb.	dyr	husdyr på en gård	husdyr		{pattedyr_1}	1.a	21015155	11010114	3068
1	sb.	dyr	billede el. figur der forestiller et dyr	billede		{billede_1}	1.b	21015156	11010114	17576
1	sb.	dyr	noget ukendt el. underligt som man føler sig utryg el. usikker over for	ukendt			1.c	21015157	11010114	
2	sb.	dyr	person der følger sine lavere drifter og instinkter og derfor opfører sig brutalt el. hensynsløst	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.d	21015158	11010114	6445
1	sb.	dyr	de lavere drifter og instinkter hos mennesket	drift		{drift_2}	1.e	21015159	11010114	27000
2	sb.	dyr	organisme som tilhører dyreriget, dvs. er flercellet og lever af organisk materiale (fx andre organismer)	organisme		{organisme_1}	2	21015153	11010114	3353
0	sb.	dyr	hjort, hjortevildt	hjort		{drøvtygger_1}	3	21015154	11010114	3419
18	adj.	dyr	som koster forholdsvis mange penge at anskaffe, benytte, vedligeholde, opretholde, forsørge e.l.	koste		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21015163	11010115	68585
1	adj.	dyr	høj, stor	høj			1.a	21015167	11010115	
1	adj.	dyr	som tager høje priser	høj			1.b	21015168	11010115	
1	adj.	dyr	som kendetegnes af særlig høje priser på fx varer, mad, boliger el. transport	kendetegne			1.c	21015169	11010115	
4	adj.	dyr	som medfører store menneskelige (og økonomiske) omkostninger el. har alvorlige eftervirkninger	omkostning			2	21015164	11010115	
2	adj.	dyr	som er virkelighedsfjern og (for) stort anlagt, som giver udtryk for mere end det reelle indhold berettiger til	virkelighedsfjern			3	21015165	11010115	
1	adj.	dyr	"kær; dyrebar; kostelig"	kær			4	21015166	11010115	
1	sb.	dyreart	en bestemt slags dyr	dyr		{dyr,1_2}	1	21015170	11010116	3262
4	sb.	dyreart	gruppe af dyr der har nogle fælles karakteristiske træk, og som kan formere sig indbyrdes	gruppe		"{art_2; sort,1_1_1; species_2}"	1.a	21015171	11010116	5537
7	sb.	dyreliv	mængden af forskellige dyr der lever (vildt) inden for et bestemt geografisk område	mængde		{bestand_1}	1	21015186	11010132	41499
1	sb.	dyreliv	dyrs liv	liv			2	21015187	11010132	
6	vb.	dyrke	udnytte et jordareal ved at bearbejde jorden og få planter til at gro der	udnytte		{udnytte_1}	1	21015203	11010148	46988
12	vb.	dyrke	få en afgrøde til at vokse frem af jorden el. få planter til at bære frugt	vokse		"{foretage_1; gøre_5}"	2	21015204	11010148	636
1	vb.	dyrke	få mikroorganismer til at udvikle sig uden for den organisme de normalt lever i	få			2.a	21015208	11010148	59463
10	vb.	dyrke	regelmæssigt udøve en bestemt aktivitet	udøve		"{gøre_1; handle_1}"	3	21015205	11010148	48061
4	vb.	dyrke	beskæftige sig indgående og engageret med	beskæftige		{beskæftige_2: beskæftige sig med}	3.a	21015209	11010148	45675
5	vb.	dyrke	ære og tilbede en gud el. overnaturlig magt, praktisere en religion	tilbede		{tro,2_6}	4	21015206	11010148	47639
2	vb.	dyrke	beundre, ofte overdrevent el. kritikløst	beundre			4.a	21015210	11010148	
3	vb.	dyrke	betragte med begejstring, beundring el. opmærksomhed	betragte		"{bese_1; beskue_1; betragte_1; iagttage_1}"	5	21015207	11010148	44713
2	vb.	dyrke	have stor lyst til	have			5.a	21015211	11010148	
28	adj.	dårlig	som ikke lever op til (berettigede) forventninger, krav el. standarder mht. fx kvalitet, udbytte el. måde at fungere på	leve		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21015701	11010436	46458
4	adj.	dårlig	af begrænset el. utilstrækkelig størrelse, mængde el. omfang	størrelse		{lille_1}	2	21015702	11010436	68367
7	adj.	dårlig	kun med vanskelighed	vanskelighed			2.a	21015708	11010436	
28	adj.	dårlig	som er til ulempe el. ikke tilstrækkelig fordel for nogen	ulempe			3	21015703	11010436	
16	adj.	dårlig	som er moralsk forkastelig el. fordærvet, som bryder el. ikke lever op til bestemte sociale normer for opførsel m.m.	forkastelig		"{beskaffenhed_1; egenskab_1; side_7_1}"	4	21015704	11010436	78366
16	adj.	dårlig	som fremkalder el. er forbundet med ubehag	fremkalde			5	21015705	11010436	
1	adj.	dårlig	fordærvet og derfor uegnet til at blive spist el. drukket	fordærvet		"{beskaffenhed_1; egenskab_1; side_7_1}"	6	21015706	11010436	78365
14	adj.	dårlig	som er utilpas el. syg, som fejler noget	utilpas			7	21015707	11010436	
9	sb.	dåse	hermetisk lukket, ofte cylinderformet beholder af metal der især anvendes til opbevaring af konserverede fødevarer	beholder		{beholder_1}	1	21015713	11010439	1788
2	sb.	dåse	cylinderformet beholder med låg	beholder		{beholder_1}	2	21015714	11010439	2789
2	sb.	dåse	kvindens skede og ydre kønsdele	skede		"{køn,1_2; kønsorgan_1; region_4: de nedre regioner}"	3	21015715	11010439	20785
0	sb.	dåse	kvinde	kvinde		"{dame_1; damemenneske_1; fruentimmer_1; hunkøn_1_2; kvinde_1; kvindemenneske_1}"	3.a	21015716	11010439	4325
6	sb.	dæk	kraftig, riflet, ofte luftfyldt gummiring udvendig på fælgen af et køretøjs hjul	gummiring		"{effekt_3; genstand_1; ting,1_1}"	1	21015251	11010180	38308
3	sb.	dæk	etage på en båd el. et skib	etage		"{etage_1; plan,1_4_1}"	2	21015252	11010180	4816
2	sb.	dæk	udendørs gulv på et skib, oversiden af øverste skibsetages loft	gulv		{DN:skibsdel}	2.a	21015254	11010180	36782
1	sb.	dæk	skiveformet, vandret bygningsdel der har bærende og afstivende funktion	bygningsdel		{DN:bygningsdel}	3	21015253	11010180	58511
1	sb.	dække	lag e.l. som skjuler noget	lag		{lag_1}	1	21015262	11010188	20752
2	sb.	dække	noget som skjuler en egentlig hensigt, tilstand e.l.	skjule		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.a	21015263	11010188	67930
2	vb.	dække	helt el. delvis skjule noget el. nogen bag ved el. under noget	skjule		{skjule_1}	1	21015265	11010189	2711
13	vb.	dække	være anbragt el. være til stede på et område (i stor mængde el. stort antal) så dettes overflade (næsten) ikke kan ses	være			1.a	21015273	11010189	
6	vb.	dække	yde el. udgøre en betaling af en udgift	yde			2	21015266	11010189	
2	vb.	dække	yde en økonomisk erstatning til genanskaffelse el. reparation af en genstand e.l. i forb. med skade, tab e.l.	yde			2.a	21015274	11010189	
2	vb.	dække	have et tilstrækkelig stort omfang til at modsvare et bestemt behov e.l.	have		{være_2_2}	2.b	21015275	11010189	32863
5	vb.	dække	være ensbetydende med, modsvare et begreb, en idé e.l. betydnings- el. indholdsmæssigt	ensbetydende			3	21015267	11010189	
3	vb.	dække	afspejle el. beskrive noget i overensstemmelse med virkeligheden	afspejle			3.a	21015276	11010189	
4	vb.	dække	have en bestemt udbredelse, gøre sig gældende el. varetage en bestemt opgave inden for et bestemt område	have			4	21015268	11010189	
1	vb.	dække	have en bestemt udbredelse i tid	have			4.a	21015277	11010189	
2	vb.	dække	forsyne et bord med tallerkener, bestik m.m. før et måltid	forsyne		{forsyne_1}	5	21015269	11010189	43148
2	vb.	dække	skildre en (medie)begivenhed for offentligheden	skildre			6	21015270	11010189	
2	vb.	dække	give beskyttelse ved angreb	give			7	21015271	11010189	
2	vb.	dække	udføre arbejde for en anden, fx ved sygdom el. ferie	udføre			8	21015272	11010189	
6	sb.	dækning	det at dække en udgift	dække			1	21015299	11010200	
1	sb.	dækning	opfyldelse af et behov	opfyldelse			1.a	21015306	11010200	
3	sb.	dækning	beløb af mindst samme størrelse som det beløb en check er udskrevet på	beløb			2	21015300	11010200	8399
1	sb.	dækning	forhold som beviser el. understøtter en påstand	forhold		{forhold_1}	2.a	21015307	11010200	42606
4	sb.	dækning	et forsikringsselskabs (garanti for) udbetaling af en økonomisk erstatning i forb. med tyveri, skade, sygdom e.l.	udbetaling		{garanti_1_2}	3	21015301	11010200	48262
1	sb.	dækning	mediernes behandling af en bestemt begivenhed, sag e.l. ved omtale i pressen, tv- og radioudsendelser e.l.	behandling			4	21015302	11010200	
4	sb.	dækning	sted hvor man i faresituationer skjuler sig el. søger beskyttelse	sted		"{ly_1; skjul_2}"	5	21015303	11010200	7039
2	sb.	dækning	det at dække en genstand e.l. (med noget)	dække			6	21015304	11010200	
0	sb.	dækning	udbredelse i et område	udbredelse			7	21015305	11010200	
17	vb.	dø	ophøre med at leve	ophøre			1	21015358	11010239	30838
2	vb.	dø	ophøre med at eksistere	ophøre		{ophøre_1}	1.a	21015359	11010239	30839
2	vb.	dø	ophøre med at fungere	ophøre		{ophøre_1}	1.b	21015360	11010239	30840
45	sb.	død	livets ophør, alle livsfunktioners ophør	ophør		{dødsfald_1}	1	21015374	11010246	37356
1	sb.	død	ophør, tilintetgørelse	ophør			1.a	21015375	11010246	73172
1	sb.	død	personifikation af døden betragtet som den der forårsager livets ophør	død			1.b	21015376	11010246	
1	sb.	død	noget meget ubehageligt og kedsommeligt	ubehagelig			1.c	21015377	11010246	
16	adj.	død	som ikke længere lever	leve		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21015395	11010247	46631
5	adj.	død	som ikke længere er (en del af) en levende organisme	leve			1.a	21015398	11010247	
3	adj.	død	som ikke længere eksisterer el. bruges aktivt	eksistere			1.b	21015399	11010247	
0	adj.	død	som er i en tilstand der ligner død	tilstand		"{stilling_1_2; tilstand_1}"	2	21015396	11010247	71088
2	adj.	død	uden menneskeliv, dyreliv el. planteliv	menneskeliv			2.a	21015400	11010247	
2	adj.	død	uden liv og udtryk	?			2.b	21015401	11010247	
1	adj.	død	uden aktivitet og livlighed	aktivitet			2.c	21015402	11010247	
